shipment_id,contract_id,shipment_date,doses_shipped,batch_id
2149,1045,2023-06-01,684620,BATCH-1045-1
2150,1045,2023-06-26,683706,BATCH-1045-2
2151,1045,2023-07-21,527580,BATCH-1045-3
2152,1045,2023-08-16,714005,BATCH-1045-4
2153,1046,2023-06-05,318051,BATCH-1046-1
2154,1046,2023-07-06,271245,BATCH-1046-2
2155,1046,2023-08-06,325443,BATCH-1046-3
2156,1046,2023-09-06,277853,BATCH-1046-4
2157,1047,2023-05-31,982455,BATCH-1047-1
2158,1047,2023-07-27,1212478,BATCH-1047-2
2159,1047,2023-09-22,849306,BATCH-1047-3
2160,1048,2023-03-11,963196,BATCH-1048-1
2161,1048,2023-05-28,827778,BATCH-1048-2
2162,1048,2023-08-14,970997,BATCH-1048-3
2163,1049,2023-07-11,619137,BATCH-1049-1
2164,1049,2023-12-09,640556,BATCH-1049-2
2165,1050,2023-04-05,535763,BATCH-1050-1
2166,1050,2023-05-23,533280,BATCH-1050-2
2167,1050,2023-07-10,488984,BATCH-1050-3
2168,1050,2023-08-28,608865,BATCH-1050-4
2169,1051,2023-05-08,6334078,BATCH-1051-1
2170,1051,2023-07-05,5267729,BATCH-1051-2
2171,1051,2023-09-02,6265156,BATCH-1051-3
2172,1052,2023-02-15,1846018,BATCH-1052-1
2173,1052,2023-03-16,2744302,BATCH-1052-2
2174,1052,2023-04-14,1889810,BATCH-1052-3
2175,1052,2023-05-14,2160890,BATCH-1052-4
2176,1053,2023-02-01,3391178,BATCH-1053-1
2177,1053,2023-03-04,3459366,BATCH-1053-2
2178,1053,2023-04-04,4993725,BATCH-1053-3
2179,1054,2023-06-15,9373070,BATCH-1054-1
2180,1054,2023-09-12,9713452,BATCH-1054-2
2181,1055,2023-01-17,397071,BATCH-1055-1
2182,1055,2023-04-02,333023,BATCH-1055-2
2183,1055,2023-06-16,350770,BATCH-1055-3
2184,1056,2023-06-26,351969,BATCH-1056-1
2185,1056,2023-08-09,257471,BATCH-1056-2
2186,1056,2023-09-23,384428,BATCH-1056-3
2187,1057,2023-02-02,424270,BATCH-1057-1
2188,1057,2023-07-22,301087,BATCH-1057-2
2189,1058,2023-02-03,789424,BATCH-1058-1
2190,1058,2023-02-25,904994,BATCH-1058-2
2191,1058,2023-03-20,1184389,BATCH-1058-3
2192,1058,2023-04-11,950280,BATCH-1058-4
2193,1058,2023-05-04,983967,BATCH-1058-5
2194,1059,2023-03-28,1348743,BATCH-1059-1
2195,1059,2023-04-26,1242622,BATCH-1059-2
2196,1059,2023-05-25,1034916,BATCH-1059-3
2197,1059,2023-06-23,945670,BATCH-1059-4
2198,1060,2023-06-03,364557,BATCH-1060-1
2199,1060,2023-07-11,317300,BATCH-1060-2
2200,1060,2023-08-18,358502,BATCH-1060-3
2201,1060,2023-09-25,312531,BATCH-1060-4
2202,1060,2023-11-02,254418,BATCH-1060-5
2203,1061,2023-06-11,1228682,BATCH-1061-1
2204,1061,2023-07-11,1225445,BATCH-1061-2
2205,1061,2023-08-10,915900,BATCH-1061-3
2206,1061,2023-09-10,1095024,BATCH-1061-4
2207,1062,2023-04-30,1447673,BATCH-1062-1
2208,1062,2023-05-18,1237704,BATCH-1062-2
2209,1062,2023-06-05,1164420,BATCH-1062-3
2210,1062,2023-06-23,1389402,BATCH-1062-4
2211,1062,2023-07-11,1499238,BATCH-1062-5
2212,1063,2023-02-09,4329031,BATCH-1063-1
2213,1063,2023-03-16,2950160,BATCH-1063-2
2214,1063,2023-04-20,3305605,BATCH-1063-3
2215,1063,2023-05-25,4174011,BATCH-1063-4
2216,1064,2023-05-04,5158183,BATCH-1064-1
2217,1064,2023-07-02,3771808,BATCH-1064-2
2218,1064,2023-08-31,5166045,BATCH-1064-3
2219,1065,2023-01-29,4286973,BATCH-1065-1
2220,1065,2023-02-16,3949178,BATCH-1065-2
2221,1065,2023-03-06,4500190,BATCH-1065-3
2222,1065,2023-03-24,5487735,BATCH-1065-4
2223,1065,2023-04-11,3958118,BATCH-1065-5
2224,1066,2023-01-31,8004407,BATCH-1066-1
2225,1066,2023-07-03,6005321,BATCH-1066-2
