vaccination_id,country_id,date_administered,age_group,doses_given,dose_number
3139,1,2023-05-07,18-45,42593,2
3140,1,2023-04-30,46-65,66592,1
3141,1,2023-05-07,46-65,53274,2
3142,1,2023-04-30,65+,46853,1
3143,1,2023-05-07,65+,37482,2
3144,1,2023-05-07,0-17,35382,1
3145,1,2023-05-14,0-17,28305,2
3146,1,2023-05-07,18-45,143833,1
3147,1,2023-05-14,18-45,115067,2
3148,1,2023-05-07,46-65,76977,1
3149,1,2023-05-14,46-65,61582,2
3150,1,2023-05-07,65+,45544,1
3151,1,2023-05-14,65+,36435,2
3152,1,2023-05-14,0-17,36939,1
3153,1,2023-05-21,0-17,29551,2
3154,1,2023-05-14,18-45,171326,1
3155,1,2023-05-21,18-45,137060,2
3156,1,2023-05-14,46-65,72577,1
3157,1,2023-05-21,46-65,58061,2
3158,1,2023-05-14,65+,33194,1
3159,1,2023-05-21,65+,26555,2
3160,1,2023-05-21,0-17,61922,1
3161,1,2023-05-28,0-17,49538,2
3162,1,2023-05-21,18-45,91557,1
3163,1,2023-05-28,18-45,73245,2
3164,1,2023-05-21,46-65,54583,1
3165,1,2023-05-28,46-65,43667,2
3166,1,2023-05-21,65+,32902,1
3167,1,2023-05-28,65+,26322,2
3168,1,2023-05-28,0-17,96163,1
3169,1,2023-06-04,0-17,76930,2
3170,1,2023-05-28,18-45,150318,1
3171,1,2023-06-04,18-45,120254,2
3172,1,2023-05-28,46-65,28542,1
3173,1,2023-06-04,46-65,22833,2
3174,1,2023-05-28,65+,63122,1
3175,1,2023-06-04,65+,50498,2
3176,1,2023-06-04,0-17,78767,1
3177,1,2023-06-11,0-17,63013,2
3178,1,2023-06-04,18-45,151147,1
3179,1,2023-06-11,18-45,120917,2
3180,1,2023-06-04,46-65,67678,1
3181,1,2023-06-11,46-65,54142,2
3182,1,2023-06-04,65+,37500,1
3183,1,2023-06-11,65+,30000,2
3184,1,2023-06-11,0-17,86751,1
3185,1,2023-06-18,0-17,69401,2
3186,1,2023-06-11,18-45,168936,1
3187,1,2023-06-18,18-45,135149,2
3188,1,2023-06-11,46-65,39243,1
3189,1,2023-06-18,46-65,31394,2
3190,1,2023-06-11,65+,55679,1
3191,1,2023-06-18,65+,44543,2
3192,1,2023-06-18,0-17,70848,1
3193,1,2023-06-25,0-17,56678,2
3194,1,2023-06-18,18-45,106245,1
3195,1,2023-06-25,18-45,84996,2
3196,1,2023-06-18,46-65,50006,1
3197,1,2023-06-25,46-65,40004,2
3198,1,2023-06-18,65+,51915,1
3199,1,2023-06-25,65+,41532,2
3200,1,2023-06-25,0-17,48917,1
3201,1,2023-07-02,0-17,39133,2
3202,1,2023-06-25,18-45,154139,1
3203,1,2023-07-02,18-45,123311,2
3204,1,2023-06-25,46-65,75705,1
3205,1,2023-07-02,46-65,60564,2
3206,1,2023-06-25,65+,20485,1
3207,1,2023-07-02,65+,16388,2
3208,1,2023-07-02,0-17,98769,1
3209,1,2023-07-09,0-17,79015,2
3210,1,2023-07-02,18-45,75076,1
3211,1,2023-07-09,18-45,60061,2
3212,1,2023-07-02,46-65,51900,1
3213,1,2023-07-09,46-65,41520,2
3214,1,2023-07-02,65+,46028,1
3215,1,2023-07-09,65+,36822,2
3216,1,2023-07-09,0-17,57907,1
3217,1,2023-07-16,0-17,46326,2
3218,1,2023-07-09,18-45,47089,1
3219,1,2023-07-16,18-45,37671,2
3220,1,2023-07-09,46-65,77020,1
3221,1,2023-07-16,46-65,61616,2
3222,1,2023-07-09,65+,25128,1
3223,1,2023-07-16,65+,20102,2
3224,1,2023-07-16,0-17,44342,1
3225,1,2023-07-23,0-17,35473,2
3226,1,2023-07-16,18-45,147131,1
3227,1,2023-07-23,18-45,117705,2
3228,1,2023-07-16,46-65,43812,1
3229,1,2023-07-23,46-65,35049,2
3230,1,2023-07-16,65+,59197,1
3231,1,2023-07-23,65+,47358,2
3232,1,2023-07-23,0-17,84100,1
3233,1,2023-07-30,0-17,67280,2
3234,1,2023-07-23,18-45,79291,1
3235,1,2023-07-30,18-45,63433,2
3236,1,2023-07-23,46-65,22338,1
3237,1,2023-07-30,46-65,17870,2
3238,1,2023-07-23,65+,62501,1
3239,1,2023-07-30,65+,50001,2
3240,1,2023-07-30,0-17,34057,1
3241,1,2023-08-06,0-17,27246,2
3242,1,2023-07-30,18-45,137017,1
3243,1,2023-08-06,18-45,109613,2
3244,1,2023-07-30,46-65,53453,1
3245,1,2023-08-06,46-65,42762,2
3246,1,2023-07-30,65+,53239,1
3247,1,2023-08-06,65+,42591,2
3248,1,2023-08-06,0-17,83240,1
3249,1,2023-08-13,0-17,66592,2
3250,1,2023-08-06,18-45,127369,1
3251,1,2023-08-13,18-45,101895,2
3252,1,2023-08-06,46-65,53599,1
3253,1,2023-08-13,46-65,42879,2
3254,1,2023-08-06,65+,54935,1
3255,1,2023-08-13,65+,43948,2
3256,1,2023-08-13,0-17,34662,1
3257,1,2023-08-20,0-17,27730,2
3258,1,2023-08-13,18-45,72180,1
3259,1,2023-08-20,18-45,57744,2
3260,1,2023-08-13,46-65,66669,1
3261,1,2023-08-20,46-65,53335,2
3262,1,2023-08-13,65+,31194,1
3263,1,2023-08-20,65+,24955,2
3264,1,2023-08-20,0-17,74375,1
3265,1,2023-08-27,0-17,59500,2
3266,1,2023-08-20,18-45,104914,1
3267,1,2023-08-27,18-45,83931,2
3268,1,2023-08-20,46-65,56207,1
3269,1,2023-08-27,46-65,44965,2
3270,1,2023-08-20,65+,37013,1
3271,1,2023-08-27,65+,29610,2
3272,1,2023-08-27,0-17,87738,1
3273,1,2023-09-03,0-17,70190,2
3274,1,2023-08-27,18-45,86383,1
3275,1,2023-09-03,18-45,69106,2
3276,1,2023-08-27,46-65,67388,1
3277,1,2023-09-03,46-65,53911,2
3278,1,2023-08-27,65+,29473,1
3279,1,2023-09-03,65+,23578,2
3280,1,2023-09-03,0-17,47535,1
3281,1,2023-09-10,0-17,38028,2
3282,1,2023-09-03,18-45,59050,1
3283,1,2023-09-10,18-45,47240,2
3284,1,2023-09-03,46-65,34203,1
3285,1,2023-09-10,46-65,27362,2
3286,1,2023-09-03,65+,22090,1
3287,1,2023-09-10,65+,17672,2
3288,1,2023-09-10,0-17,70660,1
3289,1,2023-09-17,0-17,56528,2
3290,1,2023-09-10,18-45,142495,1
3291,1,2023-09-17,18-45,113996,2
3292,1,2023-09-10,46-65,33719,1
3293,1,2023-09-17,46-65,26975,2
3294,1,2023-09-10,65+,26813,1
3295,1,2023-09-17,65+,21450,2
3296,1,2023-09-17,0-17,66460,1
3297,1,2023-09-24,0-17,53168,2
3298,1,2023-09-17,18-45,137604,1
3299,1,2023-09-24,18-45,110083,2
3300,1,2023-09-17,46-65,85192,1
3301,1,2023-09-24,46-65,68153,2
3302,1,2023-09-17,65+,41848,1
3303,1,2023-09-24,65+,33479,2
3304,1,2023-09-24,0-17,50104,1
3305,1,2023-10-01,0-17,40083,2
3306,1,2023-09-24,18-45,56432,1
3307,1,2023-10-01,18-45,45145,2
3308,1,2023-09-24,46-65,34302,1
3309,1,2023-10-01,46-65,27442,2
3310,1,2023-09-24,65+,27354,1
3311,1,2023-10-01,65+,21883,2
3312,1,2023-10-01,0-17,41685,1
3313,1,2023-10-08,0-17,33348,2
3314,1,2023-10-01,18-45,45197,1
3315,1,2023-10-08,18-45,36157,2
3316,1,2023-10-01,46-65,56416,1
3317,1,2023-10-08,46-65,45132,2
3318,1,2023-10-01,65+,29638,1
3319,1,2023-10-08,65+,23711,2
3320,1,2023-10-08,0-17,106302,1
3321,1,2023-10-15,0-17,85042,2
3322,1,2023-10-08,18-45,115332,1
3323,1,2023-10-15,18-45,92266,2
3324,1,2023-10-08,46-65,67035,1
3325,1,2023-10-15,46-65,53628,2
3326,1,2023-10-08,65+,22418,1
3327,1,2023-10-15,65+,17934,2
3328,1,2023-10-15,0-17,97698,1
3329,1,2023-10-22,0-17,78159,2
3330,1,2023-10-15,18-45,107205,1
3331,1,2023-10-22,18-45,85764,2
3332,1,2023-10-15,46-65,78436,1
3333,1,2023-10-22,46-65,62748,2
3334,1,2023-10-15,65+,44259,1
3335,1,2023-10-22,65+,35407,2
3336,1,2023-10-22,0-17,65257,1
3337,1,2023-10-29,0-17,52205,2
3338,1,2023-10-22,18-45,100648,1
3339,1,2023-10-29,18-45,80519,2
3340,1,2023-10-22,46-65,33668,1
3341,1,2023-10-29,46-65,26934,2
3342,1,2023-10-22,65+,18764,1
3343,1,2023-10-29,65+,15011,2
3344,1,2023-10-29,0-17,103601,1
3345,1,2023-11-05,0-17,82880,2
3346,1,2023-10-29,18-45,105495,1
3347,1,2023-11-05,18-45,84396,2
3348,1,2023-10-29,46-65,75144,1
3349,1,2023-11-05,46-65,60115,2
3350,1,2023-10-29,65+,35803,1
3351,1,2023-11-05,65+,28643,2
3352,1,2023-11-05,0-17,33120,1
3353,1,2023-11-12,0-17,26496,2
3354,1,2023-11-05,18-45,125229,1
3355,1,2023-11-12,18-45,100183,2
3356,1,2023-11-05,46-65,25164,1
3357,1,2023-11-12,46-65,20131,2
3358,1,2023-11-05,65+,23536,1
3359,1,2023-11-12,65+,18828,2
3360,1,2023-11-12,0-17,72853,1
3361,1,2023-11-19,0-17,58282,2
3362,1,2023-11-12,18-45,82876,1
3363,1,2023-11-19,18-45,66301,2
3364,1,2023-11-12,46-65,86318,1
3365,1,2023-11-19,46-65,69054,2
3366,1,2023-11-12,65+,22036,1
3367,1,2023-11-19,65+,17629,2
3368,1,2023-11-19,0-17,89242,1
3369,1,2023-11-26,0-17,71394,2
3370,1,2023-11-19,18-45,122221,1
3371,1,2023-11-26,18-45,97776,2
3372,1,2023-11-19,46-65,73104,1
3373,1,2023-11-26,46-65,58483,2
3374,1,2023-11-19,65+,27267,1
3375,1,2023-11-26,65+,21813,2
3376,1,2023-11-26,0-17,69580,1
3377,1,2023-12-03,0-17,55664,2
3378,1,2023-11-26,18-45,101955,1
3379,1,2023-12-03,18-45,81564,2
3380,1,2023-11-26,46-65,50470,1
3381,1,2023-12-03,46-65,40376,2
3382,1,2023-11-26,65+,58214,1
3383,1,2023-12-03,65+,46571,2
3384,1,2023-12-03,0-17,107581,1
3385,1,2023-12-10,0-17,86065,2
3386,1,2023-12-03,18-45,83077,1
3387,1,2023-12-10,18-45,66462,2
3388,1,2023-12-03,46-65,62067,1
3389,1,2023-12-10,46-65,49653,2
3390,1,2023-12-03,65+,45994,1
3391,1,2023-12-10,65+,36795,2
3392,1,2023-12-10,0-17,87262,1
3393,1,2023-12-17,0-17,69810,2
3394,1,2023-12-10,18-45,166610,1
3395,1,2023-12-17,18-45,133288,2
3396,1,2023-12-10,46-65,35191,1
3397,1,2023-12-17,46-65,28153,2
3398,1,2023-12-10,65+,26551,1
3399,1,2023-12-17,65+,21241,2
3400,1,2023-12-17,0-17,80786,1
3401,1,2023-12-24,0-17,64629,2
3402,1,2023-12-17,18-45,63785,1
3403,1,2023-12-24,18-45,51028,2
3404,1,2023-12-17,46-65,32982,1
3405,1,2023-12-24,46-65,26385,2
3406,1,2023-12-17,65+,19920,1
3407,1,2023-12-24,65+,15936,2
3408,1,2023-12-24,0-17,27315,1
3409,1,2023-12-31,0-17,21852,2
3410,1,2023-12-24,18-45,101954,1
3411,1,2023-12-31,18-45,81563,2
3412,1,2023-12-24,46-65,60297,1
3413,1,2023-12-31,46-65,48237,2
3414,1,2023-12-24,65+,30465,1
3415,1,2023-12-31,65+,24372,2
3416,2,2023-01-01,0-17,133158,1
3417,2,2023-01-08,0-17,106526,2
3418,2,2023-01-01,18-45,392410,1
3419,2,2023-01-08,18-45,313928,2
3420,2,2023-01-01,46-65,195456,1
3421,2,2023-01-08,46-65,156365,2
3422,2,2023-01-01,65+,111376,1
3423,2,2023-01-08,65+,89101,2
3424,2,2023-01-08,0-17,240642,1
3425,2,2023-01-15,0-17,192514,2
3426,2,2023-01-08,18-45,474248,1
3427,2,2023-01-15,18-45,379399,2
3428,2,2023-01-08,46-65,211458,1
3429,2,2023-01-15,46-65,169166,2
3430,2,2023-01-08,65+,135569,1
3431,2,2023-01-15,65+,108455,2
3432,2,2023-01-15,0-17,234465,1
3433,2,2023-01-22,0-17,187572,2
3434,2,2023-01-15,18-45,477929,1
3435,2,2023-01-22,18-45,382343,2
3436,2,2023-01-15,46-65,143052,1
3437,2,2023-01-22,46-65,114442,2
3438,2,2023-01-15,65+,124182,1
3439,2,2023-01-22,65+,99346,2
3440,2,2023-01-22,0-17,231271,1
3441,2,2023-01-29,0-17,185016,2
3442,2,2023-01-22,18-45,468402,1
3443,2,2023-01-29,18-45,374721,2
3444,2,2023-01-22,46-65,218776,1
3445,2,2023-01-29,46-65,175021,2
3446,2,2023-01-22,65+,57252,1
3447,2,2023-01-29,65+,45802,2
3448,2,2023-01-29,0-17,117703,1
3449,2,2023-02-05,0-17,94162,2
3450,2,2023-01-29,18-45,241772,1
3451,2,2023-02-05,18-45,193418,2
3452,2,2023-01-29,46-65,204127,1
3453,2,2023-02-05,46-65,163301,2
3454,2,2023-01-29,65+,127668,1
3455,2,2023-02-05,65+,102134,2
3456,2,2023-02-05,0-17,146628,1
3457,2,2023-02-12,0-17,117302,2
3458,2,2023-02-05,18-45,172645,1
3459,2,2023-02-12,18-45,138116,2
3460,2,2023-02-05,46-65,192757,1
3461,2,2023-02-12,46-65,154206,2
3462,2,2023-02-05,65+,146132,1
3463,2,2023-02-12,65+,116905,2
3464,2,2023-02-12,0-17,300829,1
3465,2,2023-02-19,0-17,240663,2
3466,2,2023-02-12,18-45,314522,1
3467,2,2023-02-19,18-45,251617,2
3468,2,2023-02-12,46-65,156001,1
3469,2,2023-02-19,46-65,124801,2
3470,2,2023-02-12,65+,58530,1
3471,2,2023-02-19,65+,46824,2
3472,2,2023-02-19,0-17,87983,1
3473,2,2023-02-26,0-17,70386,2
3474,2,2023-02-19,18-45,288704,1
3475,2,2023-02-26,18-45,230963,2
3476,2,2023-02-19,46-65,123660,1
3477,2,2023-02-26,46-65,98928,2
3478,2,2023-02-19,65+,82567,1
3479,2,2023-02-26,65+,66053,2
3480,2,2023-02-26,0-17,100117,1
3481,2,2023-03-05,0-17,80093,2
3482,2,2023-02-26,18-45,488582,1
3483,2,2023-03-05,18-45,390866,2
3484,2,2023-02-26,46-65,220536,1
3485,2,2023-03-05,46-65,176428,2
3486,2,2023-02-26,65+,128516,1
3487,2,2023-03-05,65+,102813,2
3488,2,2023-03-05,0-17,302741,1
3489,2,2023-03-12,0-17,242193,2
3490,2,2023-03-05,18-45,502789,1
3491,2,2023-03-12,18-45,402231,2
3492,2,2023-03-05,46-65,189665,1
3493,2,2023-03-12,46-65,151732,2
3494,2,2023-03-05,65+,85275,1
3495,2,2023-03-12,65+,68220,2
3496,2,2023-03-12,0-17,88070,1
3497,2,2023-03-19,0-17,70456,2
3498,2,2023-03-12,18-45,411012,1
3499,2,2023-03-19,18-45,328809,2
3500,2,2023-03-12,46-65,151608,1
3501,2,2023-03-19,46-65,121286,2
3502,2,2023-03-12,65+,139310,1
3503,2,2023-03-19,65+,111448,2
3504,2,2023-03-19,0-17,294557,1
3505,2,2023-03-26,0-17,235646,2
3506,2,2023-03-19,18-45,194197,1
3507,2,2023-03-26,18-45,155358,2
3508,2,2023-03-19,46-65,173265,1
3509,2,2023-03-26,46-65,138612,2
3510,2,2023-03-19,65+,136945,1
3511,2,2023-03-26,65+,109556,2
3512,2,2023-03-26,0-17,194514,1
3513,2,2023-04-02,0-17,155611,2
3514,2,2023-03-26,18-45,160155,1
3515,2,2023-04-02,18-45,128124,2
3516,2,2023-03-26,46-65,128496,1
3517,2,2023-04-02,46-65,102797,2
3518,2,2023-03-26,65+,94299,1
3519,2,2023-04-02,65+,75439,2
3520,2,2023-04-02,0-17,236575,1
3521,2,2023-04-09,0-17,189260,2
3522,2,2023-04-02,18-45,449285,1
3523,2,2023-04-09,18-45,359428,2
3524,2,2023-04-02,46-65,125071,1
3525,2,2023-04-09,46-65,100057,2
3526,2,2023-04-02,65+,145275,1
3527,2,2023-04-09,65+,116220,2
3528,2,2023-04-09,0-17,146535,1
3529,2,2023-04-16,0-17,117228,2
3530,2,2023-04-09,18-45,482276,1
3531,2,2023-04-16,18-45,385821,2
3532,2,2023-04-09,46-65,216312,1
3533,2,2023-04-16,46-65,173050,2
3534,2,2023-04-09,65+,124965,1
3535,2,2023-04-16,65+,99972,2
3536,2,2023-04-16,0-17,185814,1
3537,2,2023-04-23,0-17,148651,2
3538,2,2023-04-16,18-45,244377,1
3539,2,2023-04-23,18-45,195502,2
3540,2,2023-04-16,46-65,123840,1
3541,2,2023-04-23,46-65,99072,2
3542,2,2023-04-16,65+,184388,1
3543,2,2023-04-23,65+,147511,2
3544,2,2023-04-23,0-17,173873,1
3545,2,2023-04-30,0-17,139098,2
3546,2,2023-04-23,18-45,319850,1
3547,2,2023-04-30,18-45,255880,2
3548,2,2023-04-23,46-65,249234,1
3549,2,2023-04-30,46-65,199387,2
3550,2,2023-04-23,65+,140180,1
3551,2,2023-04-30,65+,112144,2
3552,2,2023-04-30,0-17,206506,1
3553,2,2023-05-07,0-17,165205,2
3554,2,2023-04-30,18-45,281619,1
3555,2,2023-05-07,18-45,225295,2
3556,2,2023-04-30,46-65,98248,1
3557,2,2023-05-07,46-65,78598,2
3558,2,2023-04-30,65+,98327,1
3559,2,2023-05-07,65+,78661,2
3560,2,2023-05-07,0-17,256923,1
3561,2,2023-05-14,0-17,205538,2
3562,2,2023-05-07,18-45,361649,1
3563,2,2023-05-14,18-45,289319,2
3564,2,2023-05-07,46-65,206207,1
3565,2,2023-05-14,46-65,164966,2
3566,2,2023-05-07,65+,75945,1
3567,2,2023-05-14,65+,60756,2
3568,2,2023-05-14,0-17,208069,1
3569,2,2023-05-21,0-17,166455,2
3570,2,2023-05-14,18-45,475667,1
3571,2,2023-05-21,18-45,380534,2
3572,2,2023-05-14,46-65,145500,1
3573,2,2023-05-21,46-65,116400,2
3574,2,2023-05-14,65+,145922,1
3575,2,2023-05-21,65+,116737,2
3576,2,2023-05-21,0-17,107213,1
3577,2,2023-05-28,0-17,85770,2
3578,2,2023-05-21,18-45,492821,1
3579,2,2023-05-28,18-45,394257,2
3580,2,2023-05-21,46-65,177705,1
3581,2,2023-05-28,46-65,142164,2
3582,2,2023-05-21,65+,81001,1
3583,2,2023-05-28,65+,64801,2
3584,2,2023-05-28,0-17,115924,1
3585,2,2023-06-04,0-17,92739,2
3586,2,2023-05-28,18-45,333521,1
3587,2,2023-06-04,18-45,266817,2
3588,2,2023-05-28,46-65,167027,1
3589,2,2023-06-04,46-65,133621,2
3590,2,2023-05-28,65+,60336,1
3591,2,2023-06-04,65+,48269,2
3592,2,2023-06-04,0-17,312518,1
3593,2,2023-06-11,0-17,250014,2
3594,2,2023-06-04,18-45,470106,1
3595,2,2023-06-11,18-45,376085,2
3596,2,2023-06-04,46-65,149900,1
3597,2,2023-06-11,46-65,119920,2
3598,2,2023-06-04,65+,63767,1
3599,2,2023-06-11,65+,51014,2
3600,2,2023-06-11,0-17,274770,1
3601,2,2023-06-18,0-17,219816,2
3602,2,2023-06-11,18-45,313731,1
3603,2,2023-06-18,18-45,250985,2
3604,2,2023-06-11,46-65,198024,1
3605,2,2023-06-18,46-65,158419,2
3606,2,2023-06-11,65+,119134,1
3607,2,2023-06-18,65+,95307,2
3608,2,2023-06-18,0-17,143048,1
3609,2,2023-06-25,0-17,114438,2
3610,2,2023-06-18,18-45,440606,1
3611,2,2023-06-25,18-45,352485,2
3612,2,2023-06-18,46-65,247749,1
3613,2,2023-06-25,46-65,198199,2
3614,2,2023-06-18,65+,81628,1
3615,2,2023-06-25,65+,65302,2
3616,2,2023-06-25,0-17,208551,1
3617,2,2023-07-02,0-17,166840,2
3618,2,2023-06-25,18-45,270431,1
3619,2,2023-07-02,18-45,216345,2
3620,2,2023-06-25,46-65,236739,1
3621,2,2023-07-02,46-65,189391,2
3622,2,2023-06-25,65+,119044,1
3623,2,2023-07-02,65+,95235,2
3624,2,2023-07-02,0-17,285894,1
3625,2,2023-07-09,0-17,228715,2
3626,2,2023-07-02,18-45,451659,1
3627,2,2023-07-09,18-45,361327,2
3628,2,2023-07-02,46-65,114970,1
3629,2,2023-07-09,46-65,91976,2
3630,2,2023-07-02,65+,158901,1
3631,2,2023-07-09,65+,127121,2
3632,2,2023-07-09,0-17,176412,1
3633,2,2023-07-16,0-17,141129,2
3634,2,2023-07-09,18-45,478148,1
3635,2,2023-07-16,18-45,382518,2
3636,2,2023-07-09,46-65,158631,1
3637,2,2023-07-16,46-65,126905,2
3638,2,2023-07-09,65+,163222,1
3639,2,2023-07-16,65+,130577,2
3640,2,2023-07-16,0-17,145267,1
3641,2,2023-07-23,0-17,116214,2
3642,2,2023-07-16,18-45,238356,1
3643,2,2023-07-23,18-45,190685,2
3644,2,2023-07-16,46-65,173569,1
3645,2,2023-07-23,46-65,138855,2
3646,2,2023-07-16,65+,188451,1
3647,2,2023-07-23,65+,150760,2
3648,2,2023-07-23,0-17,194022,1
3649,2,2023-07-30,0-17,155218,2
3650,2,2023-07-23,18-45,181789,1
3651,2,2023-07-30,18-45,145431,2
3652,2,2023-07-23,46-65,164448,1
3653,2,2023-07-30,46-65,131558,2
3654,2,2023-07-23,65+,95971,1
3655,2,2023-07-30,65+,76776,2
3656,2,2023-07-30,0-17,208705,1
3657,2,2023-08-06,0-17,166964,2
3658,2,2023-07-30,18-45,330726,1
3659,2,2023-08-06,18-45,264581,2
3660,2,2023-07-30,46-65,148749,1
3661,2,2023-08-06,46-65,118999,2
3662,2,2023-07-30,65+,92668,1
3663,2,2023-08-06,65+,74134,2
3664,2,2023-08-06,0-17,123062,1
3665,2,2023-08-13,0-17,98449,2
3666,2,2023-08-06,18-45,388843,1
3667,2,2023-08-13,18-45,311074,2
3668,2,2023-08-06,46-65,170713,1
3669,2,2023-08-13,46-65,136570,2
3670,2,2023-08-06,65+,80190,1
